Cobdate	Fromcurrency	FromCurrencyname	Tocurrency	ToCurrencyname	Exchangerate
18/11/2013 00:00	JPY	YEN	EUR	EURO	135.295
18/11/2013 00:00	EUR	EURO	EUR	EURO	1
18/11/2013 00:00	GBP	STERLING	EUR	EURO	0.83945
18/11/2013 00:00	USD	US DOLLAR	EUR	EURO	1.352
18/11/2013 00:00	CHF	SWISS FRANCS	EUR	EURO	1.2333
18/11/2013 00:00	TRY	Turkish Lira	EUR	EURO	2.73155
18/11/2013 00:00	PLN	POLISH ZLOTY	EUR	EURO	4.1725
18/11/2013 00:00	DKK	DANISH KRONE	EUR	EURO	7.4585
18/11/2013 00:00	MXN	Mexican Peso	EUR	EURO	17.4034
18/11/2013 00:00	CZK	CZECH KORUNA	EUR	EURO	27.137
18/11/2013 00:00	GRD	GREEK DRACHMA	EUR	EURO	1
18/11/2013 00:00	SEK	SWEDISH KRONA	EUR	EURO	8.9188
18/11/2013 00:00	ISK	ICELANDIC KRONA	EUR	EURO	163.95
18/11/2013 00:00	CAD	CANADIAN DOLLARS	EUR	EURO	1.4103
18/11/2013 00:00	SGD	Singapore Dollar	EUR	EURO	1.6845
18/11/2013 00:00	NOK	NORWEGIAN KRONER	EUR	EURO	8.2604
18/11/2013 00:00	HUF	HUNGARIAN FORINT	EUR	EURO	296.625
18/11/2013 00:00	HKD	Hong Kong Dollars	EUR	EURO	10.48035
18/11/2013 00:00	AUD	Australian Dollars	EUR	EURO	1.4384
18/11/2013 00:00	ZAR	SOUTH AFRICAN RAND	EUR	EURO	13.68515
18/11/2013 00:00	NZD	New Zealand Dollars	EUR	EURO	1.61575
18/11/2013 00:00	DEM	DEM	GBP	STERLING	1
18/11/2013 00:00	JPY	YEN	GBP	STERLING	161.171
18/11/2013 00:00	EUR	EURO	GBP	STERLING	1.19126
18/11/2013 00:00	GBP	STERLING	GBP	STERLING	1
18/11/2013 00:00	USD	US DOLLAR	GBP	STERLING	1.61058
18/11/2013 00:00	ITL	ITALIAN LIRA	GBP	STERLING	1
18/11/2013 00:00	CHF	SWISS FRANCS	GBP	STERLING	1.46918
18/11/2013 00:00	TRY	Turkish Lira	GBP	STERLING	3.25398
18/11/2013 00:00	PLN	POLISH ZLOTY	GBP	STERLING	4.97052
18/11/2013 00:00	DKK	DANISH KRONE	GBP	STERLING	8.88498
18/11/2013 00:00	MXN	Mexican Peso	GBP	STERLING	20.7319
18/11/2013 00:00	CZK	CZECH KORUNA	GBP	STERLING	32.3271
18/11/2013 00:00	FRF	FRENCH FRANCS	GBP	STERLING	1
18/11/2013 00:00	NLG	DUTCH GUILDER	GBP	STERLING	1
18/11/2013 00:00	GRD	GREEK DRACHMA	GBP	STERLING	1.25133
18/11/2013 00:00	SEK	SWEDISH KRONA	GBP	STERLING	10.6246
18/11/2013 00:00	ESP	SPANISH PESETAS	GBP	STERLING	1
18/11/2013 00:00	ISK	ICELANDIC KRONA	GBP	STERLING	195.306
18/11/2013 00:00	CNH	CHINESE RENMINBI	GBP	STERLING	0.988
18/11/2013 00:00	CAD	CANADIAN DOLLARS	GBP	STERLING	1.68003
18/11/2013 00:00	SGD	Singapore Dollar	GBP	STERLING	2.00667
18/11/2013 00:00	NOK	NORWEGIAN KRONER	GBP	STERLING	9.84025
18/11/2013 00:00	HUF	HUNGARIAN FORINT	GBP	STERLING	353.356
18/11/2013 00:00	HKD	Hong Kong Dollars	GBP	STERLING	12.4848
18/11/2013 00:00	AUD	Australian Dollars	GBP	STERLING	1.7135
18/11/2013 00:00	ZAR	SOUTH AFRICAN RAND	GBP	STERLING	16.3025
18/11/2013 00:00	NZD	New Zealand Dollars	GBP	STERLING	1.92477
